unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
385,scene,closet-s,0.49579831932773111,purple-c,10857154.0,3963904.0,123159.0,0.0083793608868859421,wardrobe,837414.0,1643264.0,244060.0,0.10912010902174622,drawer,540514.0,715008.0,21674.0,0.017566183192743352,closet-s,990976.0,1241856.0,740096.0,0.49579831932773111,pleated,1505280.0,2057216.0,376320.0,0.11811023622047244
110,scene,art_gallery-s,0.49074074074074076,pink-c,18491188.0,3951360.0,246298.0,0.011096378892830995,painting,2207098.0,1442560.0,221637.0,0.064654504741948782,frame,136341.0,602112.0,9025.0,0.012372708478424189,art_gallery-s,953344.0,1066240.0,664832.0,0.49074074074074076,paisley,1555456.0,2145024.0,388864.0,0.11742424242424243
170,scene,amphitheater-s,0.4615384615384614,white-c,72511065.0,3963904.0,624598.0,0.0082346070528778303,grandstand,516123.0,313600.0,62341.0,0.081238548728012894,balcony,317196.0,112896.0,2427.0,0.0056750026305636405,amphitheater-s,275968.0,200704.0,150528.0,0.4615384615384614,striped,2433536.0,3625216.0,802816.0,0.15274463007159905
77,scene,car_interior-backseat-s,0.43999999999999984,black-c,139916835.0,3963904.0,1313453.0,0.0092128638823916441,seat,1488057.0,1066240.0,93272.0,0.037899655631291843,body,1291612.0,865536.0,40890.0,0.019321840720743878,car_interior-backseat-s,163072.0,288512.0,137984.0,0.43999999999999984,flecked,1580544.0,2395904.0,263424.0,0.070945945945945943
123,scene,zen_garden-s,0.43749999999999983,grey-c,159331282.0,3963904.0,1665016.0,0.010301393607393966,carpet,1578817.0,903168.0,66547.0,0.027550696809439945,tail,294840.0,765184.0,9742.0,0.0092756040758577227,zen_garden-s,125440.0,163072.0,87808.0,0.43749999999999983,porous,1856512.0,2985472.0,639744.0,0.15223880597014924
370,scene,nursery-s,0.41739130434782606,pink-c,18491188.0,3976448.0,161371.0,0.0072343352865215224,cradle,157375.0,2395904.0,125124.0,0.051530483021059198,arm,2299112.0,1705984.0,68492.0,0.017398752833660689,nursery-s,827904.0,1216768.0,602112.0,0.41739130434782606,grooved,1505280.0,163072.0,12544.0,0.007575757575757576
247,scene,landing_deck-s,0.40816326530612235,blue-c,61494563.0,3963904.0,1266974.0,0.019737412868711435,airplane,1293178.0,3876096.0,530848.0,0.11444571930219433,body,1291612.0,3487232.0,274322.0,0.060899247467322837,landing_deck-s,338688.0,526848.0,250880.0,0.40816326530612235,,24924928.0,62720.0,62720.0,0.0025163563160543532
220,scene,highway-s,0.40277777777777779,blue-c,61494563.0,3963904.0,985818.0,0.015290483876348869,road,12902886.0,3938816.0,1200700.0,0.076766181603966296,wheel,1513439.0,1492736.0,46113.0,0.015578389912103193,highway-s,4076800.0,2257920.0,1818880.0,0.40277777777777779,potholed,1580544.0,188160.0,25088.0,0.014388489208633094
20,scene,bakery-shop-s,0.38961038961038957,yellow-c,34166024.0,3963904.0,453782.0,0.012044278626587761,case,608750.0,765184.0,218792.0,0.18940701662652731,top,381885.0,100352.0,2527.0,0.005267765941923244,bakery-shop-s,715008.0,627200.0,376320.0,0.38961038961038957,waffled,1555456.0,1542912.0,301056.0,0.10762331838565023
277,scene,car_interior-backseat-s,0.37931034482758608,green-c,63326720.0,3951360.0,723389.0,0.010869091105839557,dog,3793935.0,3173632.0,365472.0,0.05535697380907121,torso,7669375.0,2834944.0,322570.0,0.031681197405278798,car_interior-backseat-s,163072.0,338688.0,137984.0,0.37931034482758608,stained,1693440.0,614656.0,50176.0,0.022222222222222223
