unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
66,texture,perforated,0.049003084026382378,black-c,139916835.0,2750559.0,549816.0,0.0038687402905219787,skyscraper,1270392.0,1184444.0,48376.0,0.020102557283312419,roof,443437.0,274597.0,3973.0,0.0055639504188017544,skyscraper-s,4402944.0,646806.0,68000.0,0.013649821849751593,perforated,1793792.0,919851.0,126765.0,0.049003084026382378
117,texture,lacelike,0.035649418762676389,white-c,72511065.0,1904285.0,342593.0,0.0046250877363724968,motorbike,1440771.0,939878.0,18812.0,0.0079649865761269728,wheel,1513439.0,398445.0,13680.0,0.0072068123341853668,forest-broadleaf-s,1216768.0,465735.0,13592.0,0.0081442329758746879,lacelike,1530368.0,580532.0,72662.0,0.035649418762676389
7,object,grass,0.033591361554499127,green-c,63326720.0,2908957.0,1832853.0,0.028459202348021261,grass,12961339.0,1963343.0,485047.0,0.033591361554499127,wheel,1513439.0,717010.0,6000.0,0.0026972971733674272,park-s,1179136.0,931643.0,24829.0,0.011902969869843476,veined,1806336.0,421860.0,35335.0,0.016113652438526655
100,color,red-c,0.032652434554249883,red-c,21004512.0,2744565.0,750945.0,0.032652434554249883,person,14523849.0,1385342.0,152891.0,0.0097034836858907233,hand,398768.0,687498.0,12075.0,0.011241017658870723,childs_room-s,965888.0,758853.0,9877.0,0.0057596404146334637,paisley,1555456.0,444094.0,33761.0,0.017174274553372715
126,texture,perforated,0.028306812678977514,blue-c,61494563.0,2471891.0,256254.0,0.0040221816914716955,ceiling,12122565.0,1116180.0,97279.0,0.0074024465763560931,roof,443437.0,283894.0,2801.0,0.0038659544808358516,airport_terminal-s,1480192.0,644838.0,7882.0,0.0037229329267486262,perforated,1793792.0,539939.0,64242.0,0.028306812678977514
80,texture,grooved,0.028170009737004054,green-c,63326720.0,2489254.0,270196.0,0.004122248728209466,grass,12961339.0,1252973.0,88471.0,0.006263060726791417,headboard,500152.0,320370.0,4451.0,0.0054541822954130206,auditorium-s,489216.0,680655.0,4726.0,0.004056147518120062,grooved,1505280.0,618217.0,58180.0,0.028170009737004054
115,color,blue-c,0.026631230081084534,blue-c,61494563.0,2652122.0,1663991.0,0.026631230081084534,sky,36622673.0,1704160.0,506215.0,0.013384630573725687,screen,677188.0,603434.0,11304.0,0.0089055697626599477,lighthouse-s,589568.0,959690.0,13662.0,0.0088968713125066757,paisley,1555456.0,330470.0,15145.0,0.0080955493988874166
97,texture,perforated,0.025610528460547882,yellow-c,34166024.0,1876346.0,96029.0,0.0026714540987634876,road,12902886.0,948638.0,74413.0,0.0054012049405713575,drawer,540514.0,388337.0,2887.0,0.0031178317947565992,building_facade-s,3148544.0,589084.0,15495.0,0.004162935607083358,perforated,1793792.0,249858.0,51032.0,0.025610528460547882
128,texture,cobwebbed,0.024100461383302848,black-c,139916835.0,2270657.0,506940.0,0.0035780493006548988,pole,439586.0,1091402.0,6897.0,0.0045253203384837256,wheel,1513439.0,450107.0,9274.0,0.0047455011380196817,auditorium-s,489216.0,612821.0,4444.0,0.0040488596410509173,cobwebbed,1505280.0,429128.0,45523.0,0.024100461383302848
56,color,white-c,0.02383042039769739,white-c,72511065.0,2486434.0,1745623.0,0.02383042039769739,sky,36622673.0,1461184.0,479416.0,0.012748919735304667,pane,480756.0,366750.0,3282.0,0.0038875938139640658,street-s,28111104.0,787807.0,127325.0,0.0044253730051586311,zigzagged,1618176.0,300089.0,20384.0,0.010740399424410699
